word,frequency
mystery,7
other.,5
solemn,8
"consideration,",4
enter,5
great,145
city,17
"every
",11
darkly,5
clustered,1
houses,6
encloses,2
secret;,2
room,33
heart,39
hundreds,7
thousands,2
breasts,3
"there,",71
"is,",34
"imaginings,",1
nearest,8
it!,13
Something,4
"awfulness,",1
Death,5
"itself,",10
referable,2
No,23
"can
",12
turn,24
leaves,7
book,3
"loved,",1
vainly,1
time,132
all.,10
can,86
depths,5
unfathomable,1
"water,",13
"wherein,",1
momentary,3
lights,7
glanced,17
"I
",98
glimpses,1
buried,10
treasure,1
submerged.,1
"It
",11
appointed,6
"spring,",2
"ever,",9
page.,1
water,14
locked,5
eternal,3
"frost,",1
"playing
",2
"surface,",3
ignorance,1
shore.,2
My,35
friend,33
neighbour,1
"love,",5
darling,6
"soul,",6
dead;,1
inexorable,1
consolidation,1
perpetuation,1
always,92
"individuality,",1
"shall
",5
carry,10
mine,3
life's,1
end.,4
burial-places,1
"pass,",4
sleeper,3
inscrutable,1
inhabitants,3
"are,",6
innermost,1
"personality,",1
"or
",29
"them?
",1
natural,17
alienated,1
"inheritance,",1
messenger,7
horseback,1
exactly,14
same,62
possessions,1
"King,
",3
Minister,1
"State,",3
richest,2
merchant,2
"So
",7
narrow,7
compass,2
coach;,1
mysteries,4
complete,6
"six,",2
"sixty,",3
breadth,5
county,1
"next.
",1
easy,10
"trot,",2
stopping,6
pretty,29
alehouses,1
"drink,",8
evincing,1
tendency,7
"counsel,",3
eyes.,8
assorted,1
"decoration,",3
surface,6
"black,
",1
depth,2
colour,7
"form,",3
too,47
together-,2
afraid,12
found,51
"something,",4
"singly,",2
"kept
",6
apart.,2
sinister,2
"expression,",3
"cocked-hat
",1
three-cornered,2
"spittoon,",1
muffler,3
chin,4
"throat,",6
descended,3
nearly,9
wearer's,1
knees.,1
When,59
moved,32
"hand,",58
"only
",8
poured,12
liquor,1
right;,3
"done,",23
"again.
",21
"""No,",15
"no!""",1
harping,1
theme,2
rode.,1
"""It",85
Jerry.,6
honest,16
"tradesman,
",1
suit,8
line,11
business!,1
Recalled-!,1
Bust,1
think,86
he'd,2
"drinking!""
",1
His,60
perplexed,3
"fain,
",1
several,15
take,74
scratch,1
head.,12
Except,3
"crown,",1
raggedly,2
"bald,",1
"stiff,",1
black,29
"hair,",27
"standing
",4
jaggedly,1
"broad,",1
"blunt
",1
nose.,2
Smith's,1
"work,",15
spiked,1
wall,20
"players
",1
leap-frog,1
declined,2
dangerous,9
man,191
world,25
"over.
",7
While,7
trotted,1
watchman,1
box,4
"Bank,",10
"Temple
",5
greater,11
"within,",2
shadows,17
such,142
shapes,2
arose,17
"message,",3
mare,1
"her
",73
private,9
topics,3
uneasiness.,1
seemed,55
"numerous,",2
"she
",21
shied,1
shadow,23
"road.
",3
What,56
"time,",67
mail-coach,1
"lumbered,",1
"jolted,",1
"rattled,",1
bumped,2
"upon
",15
tedious,1
fellow-inscrutables,1
inside.,1
To,25
"whom,
",1
"likewise,",2
revealed,5
"themselves,",5
"forms
",1
dozing,3
wandering,8
thoughts,13
"suggested.
",1
run,10
bank,9
"passenger-
",1
arm,31
drawn,18
leathern,3
"strap,",2
pounding,1
against,66
next,22
"driving
",1
"corner,",17
whenever,4
special,5
jolt-,1
nodded,7
"place,",26
half-shut,1
"eyes,",30
"coach-windows,",1
dimly,2
gleaming,2
bulky,1
bundle,5
opposite,8
became,30
"bank,",4
stroke,3
rattle,5
harness,5
chink,1
"money,",6
drafts,1
honoured,10
minutes,11
"all
",26
foreign,5
home,19
"connection,",2
paid,16
thrice,3
time.,16
"Then
",1
strong-rooms,2
"underground,",1
"Tellson's,",16
valuable,3
stores,2
secrets,1
known,48
(and,7
knew,69
"them),",2
keys,3
"feebly-burning
",1
"candle,",4
"safe,",3
"strong,",4
"sound,",5
"still,",7
just,37
seen,88
"But,",73
(in,4
confused,4
presence,8
pain,10
"opiate)
",1
current,4
impression,6
ceased,8
"run,",2
night.,14
"dig
",1
"grave.
",4
"Now,",27
multitude,6
faces,36
themselves,17
"before
",12
true,19
face,99
"person,",4
"night
",4
indicate;,1
five-and-forty,1
differed,1
principally,2
"passions
",1
"expressed,",1
ghastliness,1
worn,9
wasted,4
"state.
",2
"Pride,",1
"contempt,",2
"defiance,",1
"stubbornness,",1
"submission,",3
"lamentation,
",1
succeeded,1
another;,2
varieties,2
sunken,2
"cheek,",4
"cadaverous
",2
"colour,",5
emaciated,1
figures.,1
"main
",1
prematurely,2
white.,1
inquired,7
"spectre:
",1
"""Buried",3
how,78
"long?""
",3
same:,1
"""Almost",3
eighteen,6
"years.""
",5
"""You",119
abandoned,9
dug,4
"out?""
",6
"""Long",4
"ago.""
",7
recalled,5
"life?""
",4
"""They",16
tell,75
"so.""
",15
care,25
"live?""
",3
"say.""
",7
"""Shall",6
show,37
you?,8
Will,8
"her?""
",4
answers,1
question,23
various,13
"contradictory.
",1
Sometimes,2
broken,13
reply,4
"""Wait!",1
kill,4
saw,73
"soon.""",1
"Sometimes,",4
given,10
tender,5
"tears,",7
"then
",12
"her.""",1
staring,10
"bewildered,",1
her.,28
"understand.""
",1
imaginary,5
"discourse,",2
fancy,7
"would
",22
"dig,",3
dig-,3
"spade,",2
"key,",2
hands-,1
dig,3
out.,16
Got,1
"last,",15
earth,19
fall,8
"away
",3
dust.,1
start,4
lower,5
"window,",15
reality,3
"cheek.
",2
Yet,5
"rain,",2
moving,10
patch,1
"lamps,",3
hedge,1
"roadside
",1
retreating,2
"jerks,",1
outside,12
"fall
",1
train,4
within.,2
real,19
"Banking-house
",1
"strong
",3
"rooms,",8
express,10
"returned,
",1
there.,20
Out,3
ghostly,4
"rise,",1
accost,1
Dig-,1
impatient,4
movement,5
"two
",18
admonish,1
draw,11
"arm
",3
securely,2
speculate,3
slumbering,2
"forms,",2
lost,25
"again
",4
slid,1
away,56
spoken-,1
distinctly,3
spoken,18
life-,6
weary,5
consciousness,4
"daylight,",2
"found
",4
"gone.
",6
lowered,4
rising,20
sun.,5
ridge,3
ploughed,3
"land,",2
plough,3
"left
",6
unyoked;,1
"beyond,",2
"coppice-wood,
",1
red,40
golden,27
yellow,5
"remained
",5
trees.,5
Though,7
"wet,",4
sky,12
"clear,",2
sun,23
rose,25
"bright,",1
"placid,",1
"beautiful.
",1
"""Eighteen",1
"years!""",1
"sun.
",2
"""Gracious",1
Creator,1
day!,1
alive,1
"years!""
",1
"IV
",3
"PREPARATION
",1
WHEN,2
MAIL,1
successfully,1
"Dover,",3
course,18
"forenoon,",2
drawer,2
Royal,4
George,7
Hotel,5
custom,3
was.,7
flourish,1
"ceremony,",2
journey,11
"an
",41
achievement,1
congratulate,2
adventurous,3
traveller,4
"upon.
",1
By,7
congratulated:,1
others,13
respective,1
roadside,1
destinations.,1
mildewy,1
inside,7
"coach,
",1
damp,6
disagreeable,3
"smell,",3
"obscurity,",1
rather,31
dog-kennel.,1
shaking,18
chains,1
tangle,1
shaggy,3
"wrapper,",1
flapping,1
"hat,",3
muddy,3
"legs,",4
"larger
",1
sort,10
"dog.
",1
packet,2
"Calais,",3
"to-morrow,",6
"drawer?""
",1
"sir,",17
holds,3
wind,9
sets,3
"fair.
",1
tide,7
serve,9
nicely,1
"afternoon,
",1
sir.,14
"Bed,",1
"sir?""
",9
bed,13
night;,2
"bedroom,",3
"barber.""
",1
"""And",47
"breakfast,",6
sir?,3
"Yes,",6
That,36
"please.
",1
Show,2
Concord!,1
Gentleman's,1
valise,2
hot,9
Concord.,3
Pull,2
"off
",6
gentleman's,2
boots,6
(You,1
find,37
fine,25
sea-coal,1
"fire,
",3
sir.),1
Fetch,1
barber,1
Stir,1
"Concord!""
",1
Concord,2
bed-chamber,5
assigned,2
"by
",41
heavily,11
"foot,",3
odd,7
interest,16
"establishment
",1
"George,",1
although,15
kinds,4
men,51
"Consequently,",1
"drawer,",3
"porters,",1
maids,1
"landlady,",1
loitering,2
accident,2
points,5
"coffee-room,",1
gentleman,45
formally,1
dressed,7
brown,7
"clothes,",7
"well
",6
worn.,3
"kept,",2
square,1
cuffs,1
flaps,1
"pockets,",7
"breakfast.
",2
coffee-room,2
"occupant,",1
brown.,1
breakfast-table,1
"fire,",10
"sat,",5
shining,11
waiting,16
"meal,",1
"sat
",8
sitting,17
"portrait.
",1
Very,6
orderly,2
methodical,4
"looked,",6
"knee,",3
watch,8
ticking,1
sonorous,1
sermon,1
flapped,2
"waistcoat,",1
pitted,2
gravity,1
longevity,1
levity,1
evanescence,1
brisk,3
fire.,8
"leg,",1
"little
",21
vain,8
stockings,1
fitted,4
sleek,2
"close,",2
texture;,1
shoes,9
"buckles,",1
"too,",31
"plain,",2
trim.,1
crisp,2
flaxen,4
"wig,",5
setting,12
"close
",5
head:,2
"presumed,",1
spun,4
filaments,1
silk,3
glass.,5
"linen,",4
fineness,1
accordance,2
"stockings,",2
white,22
tops,3
broke,10
neighbouring,6
"beach,",3
specks,1
sail,3
glinted,1
"sunlight
",1
sea.,4
habitually,2
suppressed,6
"quieted,",1
"still
",8
lighted,12
quaint,1
wig,9
pair,8
moist,1
bright,22
must,94
cost,2
"owner,",1
years,49
gone,38
"by,",9
pains,3
drill,1
composed,6
reserved,3
expression,22
healthy,4
"cheeks,",1
"lined,",1
bore,11
"few
",7
traces,2
anxiety.,2
bachelor,4
clerks,4
occupied,12
cares,5
people;,2
second-hand,2
"cares,",1
"clothes,
",1
easily,12
"on.
",4
Completing,1
resemblance,9
"portrait,",1
dropped,35
sleep.,4
arrival,4
"breakfast
",2
roused,6
chair,17
"it:
",1
wish,22
accommodation,1
prepared,5
young,86
lady,26
here,58
to-day.,8
She,90
ask,45
"ask
",3
Please,1
"know.""
",5
"""Yes.""
",11
We,35
oftentimes,1
"gentlemen
",1
travelling,13
backwards,3
forwards,2
betwixt,1
"Paris,
",3
vast,4
deal,7
"travelling,",4
Tellson,6
Company's,1
"House.""
",1
"""Yes.",13
French,33
"House,",5
"one.""
",4
habit,6
"yourself,",9
"think,",11
"""Not",21
years.,2
fifteen,3
since,25
we-since,1
I-,2
"came
",10
"France.""
",4
"""Indeed,",4
"here,",42
Before,8
our,87
"people's
",1
believe,34
"""But",27
"wager,",1
House,18
Company,1
"flourishing,",1
matter,16
"fifty,",2
speak,37
"fifteen
",1
"ago?""
",2
treble,1
"truth.""
",1
"sir!""
",2
Rounding,1
mouth,9
stepped,6
backward,2
"table,",20
waiter,3
shifted,2
napkin,1
"left,",6
comfortable,1
"attitude,",5
surveying,3
guest,1
ate,6
"drank,",1
observatory,1
"watchtower.
",1
According,2
immemorial,1
usage,2
waiters,1
"ages.
",2
finished,4
stroll,1
beach.,1
"narrow,",2
crooked,4
"hid
",1
ran,21
chalk,1
"cliffs,
",1
marine,1
ostrich.,1
beach,1
desert,3
heaps,4
stones,12
tumbling,2
wildly,3
"about,",12
"liked,",1
liked,2
destruction.,1
thundered,1
"town,",2
"thundered
",1
"cliffs,",1
coast,2
"down,",36
madly.,1
strong,54
piscatory,1
flavour,3
"have
",51
supposed,13
sick,4
fish,3
dipped,5
"went
",12
fishing,3
done,48
"port,
",1
quantity,8
strolling,1
"seaward:
",1
particularly,9
"made,",7
"flood.
",1
Small,1
"tradesmen,",1
"whatever,",2
sometimes,17
"unaccountably
",1
realised,1
